idcircuito,nm_circuito,nr_extensao,tb_Pais_idpais
1,"Albert Park Grand Prix Circuit",5.303,13
2,"Sepang International Circuit",5.543,14
3,"Bahrain International Circuit",5.412,15
4,"Circuit de Barcelona-Catalunya",4.655,16
5,"Istanbul Park",5.338,17
6,"Circuit de Monaco",3.337,18
7,"Circuit Gilles Villeneuve",4.361,19
8,"Circuit de Nevers Magny-Cours",4.411,20
9,"Silverstone Circuit",5.891,21
10,Hockenheimring,4.574,22
11,Hungaroring,4.381,23
12,"Circuit de Spa-Francorchamps",7.004,24
13,"Autodromo Nazionale di Monza",5.793,25
14,"Marina Bay Street Circuit",5.065,26
15,"Fuji Speedway",4.563,27
16,"Shanghai International Circuit",5.451,28
17,"Autódromo José Carlos Pace",4.309,29
18,"Yas Marina Circuit",5.554,30
19,"Autódromo Oscar y Juan Gálvez",4.206,31
20,"Autódromo do Estoril",4.182,32
21,Kyalami,4.261,33
22,"Autódromo Hermanos Rodríguez",4.304,34
23,"Korean International Circuit",5.615,35
24,"Circuit Park Zandvoort",4.259,36
25,"Scandinavian Raceway",4.031,37
26,"Red Bull Ring",4.318,38
27,Ain-Diab,7.618,39
28,"Circuit Bremgarten",7.280,40
29,Aintree,4.828,21
30,"Buddh International Circuit",5.125,41
31,Nürburgring,5.148,22
32,"Indianapolis Motor Speedway",4.192,42
33,Rouen-Les-Essarts,6.542,20
34,AVUS,8.300,22
35,Reims-Gueux,8.302,20
36,"Pescara Circuit",25.579,25
37,"Brands Hatch",3.703,21
38,Zeltweg,3.200,38
39,"Watkins Glen",3.780,42
40,"Mosport International Raceway",3.957,19
41,"Montjuïc circuit",3.790,16
42,Jarama,3.404,16
43,"Circuit Mont-Tremblant",4.265,19
44,"Charade Circuit",8.055,20
45,"Paul Ricard Circuit",5.810,20
46,Nivelles-Baulers,3.724,24
47,Zolder,4.262,24
48,Dijon-Prenois,3.800,20
49,"Long Beach",3.275,42
50,"Autódromo Internacional do Rio de Janeiro",5.031,29
51,"Caesars Palace",3.650,42
52,"Detroit Street Circuit",4.023,42
53,"Dallas Grand Prix Circuit",3.901,42
54,"Circuito de Jerez",4.218,16
55,"Adelaide Street Circuit",3.780,13
56,"Phoenix street circuit",3.720,42
57,"Donington Park",4.020,21
58,"TI Circuit Aida",3.703,27
59,"Sochi Autodrom",5.848,43
60,"Baku City Circuit",6.003,44
61,"Autodromo Enzo e Dino Ferrari",4.909,25
62,"Portimão Circuit",4.653,32
63,"Mugello Circuit",5.245,25
64,"Valencia Street Circuit",5.419,16
65,"Suzuka Circuit",5.807,27
66,"Circuit of the Americas",5.513,42
67,"Jeddah Corniche Circuit",6.174,45
68,"Losail International Circuit",5.380,46
69,"Las Vegas Strip Street Circuit",6.201,42
