idprova,dt_prova,nm_situacao,tb_Circuito_idcircuito
1,"2009-03-29 06:00:00",Finished,1
2,"2009-04-05 09:00:00",Finished,2
3,"2009-04-19 07:00:00",Finished,16
4,"2009-04-26 12:00:00",Finished,3
5,"2009-05-10 12:00:00",Finished,4
6,"2009-05-24 12:00:00",Finished,6
7,"2009-06-07 12:00:00",Finished,5
8,"2009-06-21 12:00:00",Finished,9
9,"2009-07-12 12:00:00",Finished,31
10,"2009-07-26 12:00:00",Finished,11
11,"2009-08-23 12:00:00",Finished,64
12,"2009-08-30 12:00:00",Finished,12
13,"2009-09-13 12:00:00",Finished,13
14,"2009-09-27 12:00:00",Finished,14
15,"2009-10-04 05:00:00",Finished,65
16,"2009-10-18 16:00:00",Finished,17
17,"2009-11-01 11:00:00",Finished,18
18,"2008-03-16 04:30:00",Finished,1
19,"2008-03-23 07:00:00",Finished,2
20,"2008-04-06 11:30:00",Finished,3
21,"2008-04-27 12:00:00",Finished,4
22,"2008-05-11 12:00:00",Finished,5
23,"2008-05-25 12:00:00",Finished,6
24,"2008-06-08 17:00:00",Finished,7
25,"2008-06-22 12:00:00",Finished,8
26,"2008-07-06 12:00:00",Finished,9
27,"2008-07-20 12:00:00",Finished,10
28,"2008-08-03 12:00:00",Finished,11
29,"2008-08-24 12:00:00",Finished,64
30,"2008-09-07 12:00:00",Finished,12
31,"2008-09-14 12:00:00",Finished,13
32,"2008-09-28 07:00:00",Finished,14
33,"2008-10-12 04:00:00",Finished,65
34,"2008-10-19 06:00:00",Finished,16
35,"2008-11-02 17:00:00",Finished,17
36,"2007-03-18 03:00:00",Finished,1
37,"2007-04-08 07:00:00",Finished,2
38,"2007-04-15 11:00:00",Finished,3
39,"2007-05-13 12:00:00",Finished,4
40,"2007-05-27 12:00:00",Finished,6
41,"2007-06-10 17:00:00",Finished,7
42,"2007-06-17 18:00:00",Finished,32
43,"2007-07-01 12:00:00",Finished,8
44,"2007-07-08 12:00:00",Finished,9
45,"2007-07-22 12:00:00",Finished,31
46,"2007-08-05 12:00:00",Finished,11
47,"2007-08-26 12:00:00",Finished,5
48,"2007-09-09 12:00:00",Finished,13
49,"2007-09-16 12:00:00",Finished,12
50,"2007-09-30 04:00:00",Finished,65
51,"2007-10-07 06:00:00",Finished,16
52,"2007-10-21 17:00:00",Finished,17
53,"2006-03-12 11:30:00",Finished,3
54,"2006-03-19 07:00:00",Finished,2
55,"2006-04-02 04:00:00",Finished,1
56,"2006-04-23 12:00:00",Finished,64
57,"2006-05-07 12:00:00",Finished,31
58,"2006-05-14 12:00:00",Finished,4
59,"2006-05-28 12:00:00",Finished,6
60,"2006-06-11 12:00:00",Finished,9
61,"2006-06-25 17:00:00",Finished,7
62,"2006-07-02 18:00:00",Finished,32
63,"2006-07-16 12:00:00",Finished,8
64,"2006-07-30 12:00:00",Finished,10
65,"2006-08-06 12:00:00",Finished,11
66,"2006-08-27 12:00:00",Finished,5
67,"2006-09-10 12:00:00",Finished,13
68,"2006-10-01 06:00:00",Finished,16
69,"2006-10-08 05:00:00",Finished,65
70,"2006-10-22 17:00:00",Finished,17
71,"2005-03-06 04:00:00",Finished,1
72,"2005-03-20 07:00:00",Finished,2
73,"2005-04-03 11:30:00",Finished,3
74,"2005-04-24 12:00:00",Finished,64
75,"2005-05-08 12:00:00",Finished,4
76,"2005-05-22 12:00:00",Finished,6
77,"2005-05-29 12:00:00",Finished,31
78,"2005-06-12 17:00:00",Finished,7
79,"2005-06-19 18:00:00",Finished,32
80,"2005-07-03 12:00:00",Finished,8
81,"2005-07-10 12:00:00",Finished,9
82,"2005-07-24 12:00:00",Finished,10
83,"2005-07-31 12:00:00",Finished,11
84,"2005-08-21 12:00:00",Finished,5
85,"2005-09-04 12:00:00",Finished,13
86,"2005-09-11 12:00:00",Finished,12
87,"2005-09-25 17:00:00",Finished,17
88,"2005-10-09 05:00:00",Finished,65
89,"2005-10-16 06:00:00",Finished,16
90,"2004-03-07 04:00:00",Finished,1
91,"2004-03-21 07:00:00",Finished,2
92,"2004-04-04 12:00:00",Finished,3
93,"2004-04-25 12:00:00",Finished,64
94,"2004-05-09 12:00:00",Finished,4
95,"2004-05-23 12:00:00",Finished,6
96,"2004-05-30 12:00:00",Finished,31
97,"2004-06-13 17:00:00",Finished,7
98,"2004-06-20 18:00:00",Finished,32
99,"2004-07-04 12:00:00",Finished,8
100,"2004-07-11 12:00:00",Finished,9
101,"2004-07-25 12:00:00",Finished,10
102,"2004-08-15 12:00:00",Finished,11
103,"2004-08-29 12:00:00",Finished,12
104,"2004-09-12 12:00:00",Finished,13
105,"2004-09-26 06:00:00",Finished,16
106,"2004-10-10 05:00:00",Finished,65
107,"2004-10-24 17:00:00",Finished,17
108,"2003-03-09 04:00:00",Finished,1
109,"2003-03-23 07:00:00",Finished,2
110,"2003-04-06 17:00:00",Finished,17
111,"2003-04-20 12:00:00",Finished,64
112,"2003-05-04 12:00:00",Finished,4
113,"2003-05-18 12:00:00",Finished,38
114,"2003-06-01 12:00:00",Finished,6
115,"2003-06-15 17:00:00",Finished,7
116,"2003-06-29 12:00:00",Finished,31
117,"2003-07-06 12:00:00",Finished,8
118,"2003-07-20 12:00:00",Finished,9
119,"2003-08-03 12:00:00",Finished,10
120,"2003-08-24 12:00:00",Finished,11
121,"2003-09-14 12:00:00",Finished,13
122,"2003-09-28 18:00:00",Finished,32
123,"2003-10-12 05:00:00",Finished,65
124,"2002-03-03 04:00:00",Finished,1
125,"2002-03-17 07:00:00",Finished,2
126,"2002-03-31 17:00:00",Finished,17
127,"2002-04-14 12:00:00",Finished,64
128,"2002-04-28 12:00:00",Finished,4
129,"2002-05-12 12:00:00",Finished,38
130,"2002-05-26 12:00:00",Finished,6
131,"2002-06-09 17:00:00",Finished,7
132,"2002-06-23 12:00:00",Finished,31
133,"2002-07-07 12:00:00",Finished,9
134,"2002-07-21 12:00:00",Finished,8
135,"2002-07-28 12:00:00",Finished,10
136,"2002-08-18 12:00:00",Finished,11
137,"2002-09-01 12:00:00",Finished,12
138,"2002-09-15 12:00:00",Finished,13
139,"2002-09-29 18:00:00",Finished,32
140,"2002-10-13 05:00:00",Finished,65
