nm_circuito;nr_extensao;tb_Pais_idpais
Albert Park Grand Prix Circuit;5.278;12
Sepang International Circuit;5.543;123
Bahrain International Circuit;5.412;16
Circuit de Barcelona-Catalunya;4.675;195
Istanbul Park;5.338;213
Circuit de Monaco;3.337;135
Circuit Gilles Villeneuve;4.361;37
Circuit de Nevers Magny-Cours;4.411;71
Silverstone Circuit;5.891;221
Hockenheimring;4.574;77
Hungaroring;4.381;93
Valencia Street Circuit;5.419;195
Circuit de Spa-Francorchamps;7.004;20
Autodromo Nazionale di Monza;5.793;102
Marina Bay Street Circuit;5.063;186
Fuji Speedway;4.563;104
Shanghai International Circuit;5.451;43
Autódromo José Carlos Pace;4.309;28
Indianapolis Motor Speedway;4.192;222
Nürburgring;5.148;77
Autodromo Enzo e Dino Ferrari;4.909;102
Suzuka Circuit;5.807;104
Las Vegas Strip Street Circuit;6.201;222
Yas Marina Circuit;5.554;220
Autódromo Juan y Oscar Gálvez;4.259;9
Circuito de Jerez;4.428;195
Autódromo do Estoril;4.360;165
Okayama International Circuit;3.703;104
Adelaide Street Circuit;378;12
Kyalami;4.529;192
Donington Park;4.020;221
Autódromo Hermanos Rodríguez;4.304;132
Phoenix street circuit;372;222
Circuit Paul Ricard;5.842;71
Korean International Circuit;5.615;233
Autódromo Internacional Nelson Piquet;5.475;28
Detroit Street Circuit;4.023;222
Brands Hatch;4.206;221
Circuit Park Zandvoort;4.259;145
Zolder;4.262;20
Dijon-Prenois;3.801;71
Fair Park;3.923;222
Long Beach;3.168;222
Las Vegas Street Circuit;365;222
Jarama;385;195
Watkins Glen;5.435;222
Scandinavian Raceway;4.031;201
Mosport International Raceway;3.957;37
Montjuïc;3.791;195
Nivelles-Baulers;3.724;20
Charade Circuit;8.055;71
Circuit Mont-Tremblant;4.265;37
Rouen-Les-Essarts;6.542;71
Le Mans;13.629;71
Reims-Gueux;8.302;71
Prince George Circuit;111;192
Zeltweg;32;13
Aintree;4.828;221
Circuito da Boavista;7.775;165
Riverside International Raceway;5.271;222
AVUS;8.300;77
Monsanto Park Circuit;544;165
Sebring International Raceway;8.369;222
Ain Diab;7.618;139
Pescara Circuit;258;102
Circuit Bremgarten;7.208;202
Circuit de Pedralbes;6.316;195
Buddh International Circuit;5.125;95
Circuit of the Americas;5.513;222
Red Bull Ring;4.318;13
Sochi Autodrom;5.848;169
Baku City Circuit;6.003;14
Autódromo Internacional do Algarve;4.653;165
Autodromo Internazionale del Mugello;5.245;102
Jeddah Corniche Circuit;6.174;181
Losail International Circuit;538;167
Miami International Autodrome;5.412;222
