nm_equipe,tb_Pais_idpais
McLaren,221
BMW Sauber,77
Williams,221
Renault,71
Toro Rosso,102
Ferrari,102
Toyota,104
Super Aguri,104
Red Bull,13
Force India,95
Honda,104
Spyker,145
MF1,169
Spyker MF1,145
Sauber,202
BAR,221
Jordan,99
Minardi,102
Jaguar,221
Prost,71
Arrows,221
Benetton,102
Brawn,221
Stewart,221
Tyrrell,221
Lola,221
Ligier,71
Forti,102
Footwork,221
Pacific,221
Simtek,221
Team Lotus,221
Larrousse,71
Brabham,221
Dallara,102
Fondmetal,102
March,221
Andrea Moda,102
AGS,71
Lambo,102
Leyton House,221
Coloni,102
Euro Brun,102
Osella,102
Onyx,221
Life,102
Rial,77
Zakspeed,77
RAM,221
Alfa Romeo,202
Spirit,221
Toleman,221
ATS,102
Theodore,92
Fittipaldi,28
Ensign,221
Shadow,221
Wolf,37
Merzario,102
Kauhsen,77
Rebaque,132
Surtees,221
Hesketh,221
Martini,71
BRM,221
Penske,222
LEC,221
McGuire,12
Boro,145
Apollon,202
Kojima,104
Parnelli,222
Maki,104
Embassy Hill,221
Lyncar,221
Trojan,221
Amon,147
Token,221
Iso Marlboro,221
Tecno,102
Matra,71
Politoys,221
Connew,221
Bellasi,202
De Tomaso,102
Cooper,221
Eagle,222
LDS,192
Protos,221
Shannon,221
Scirocco,221
RE,232
BRP,221
Porsche,77
Derrington,221
Gilby,221
Stebro,37
Emeryson,221
ENB,20
JBW,221
Ferguson,221
MBM,202
Behra-Porsche,102
Maserati,102
Scarab,222
Watson,222
Epperly,222
Phillips,222
Lesovsky,222
Trevis,222
Meskowski,222
Kurtis Kraft,222
Kuzma,222
Christensen,222
Ewing,222
Aston Martin,221
Vanwall,221
Moore,222
Dunn,222
Elder,222
Sutton,222
Fry,221
Tec-Mec,102
Connaught,221
Alta,221
OSCA,102
Gordini,71
Stevens,222
Bugatti,71
Mercedes,77
Lancia,102
HWM,221
Schroeder,222
Pawl,222
Pankratz,222
Arzani-Volpini,102
Nichels,222
Bromme,222
Klenk,77
Simca,71
Turner,222
Del Roy,222
Veritas,77
BMW,77
EMW,77
AFM,77
Frazer Nash,221
Sherman,222
Deidt,222
ERA,221
Aston Butterworth,221
Cisitalia,102
Talbot-Lago,71
Hall,222
Marchese,222
Langley,222
Rae,222
Olson,222
Wetteroth,222
Adams,222
Snowberger,222
Milano,102
HRT,195
Cooper-Maserati,221
Virgin,221
Cooper-OSCA,221
Cooper-Borgward,221
Cooper-Climax,221
Cooper-Castellotti,221
Lotus-Climax,221
Lotus-Maserati,221
De Tomaso-Osca,102
De Tomaso-Alfa Romeo,102
Lotus-BRM,221
Lotus-Borgward,221
Cooper-Alfa Romeo,221
De Tomaso-Ferrari,102
Lotus-Ford,221
Brabham-BRM,221
Brabham-Ford,221
Brabham-Climax,221
LDS-Climax,192
LDS-Alfa Romeo,192
Cooper-Ford,221
McLaren-Ford,221
McLaren-Serenissima,221
Eagle-Climax,222
Eagle-Weslake,222
Brabham-Repco,221
Cooper-Ferrari,221
Cooper-ATS,221
McLaren-BRM,221
Cooper-BRM,221
Matra-Ford,71
BRM-Ford,221
McLaren-Alfa Romeo,221
March-Alfa Romeo,221
March-Ford,221
Lotus-Pratt &amp; Whitney,221
Shadow-Ford,221
Shadow-Matra,221
Brabham-Alfa Romeo,221
Lotus,123
Marussia,169
Caterham,123
Lotus F1,221
Manor Marussia,221
Haas F1 Team,222
Racing Point,221
AlphaTauri,102
Alpine F1 Team,71
RB F1 Team,102
