dt_prova,nm_situacao,id_circuito
2009-03-29 06:00:00,Finished,1
2009-04-05 09:00:00,Finished,2
2009-04-19 07:00:00,Finished,16
2009-04-26 12:00:00,Finished,3
2009-05-10 12:00:00,Finished,4
2009-05-24 12:00:00,Finished,6
2009-06-07 12:00:00,Finished,5
2009-06-21 12:00:00,Finished,9
2009-07-12 12:00:00,Finished,31
2009-07-26 12:00:00,Finished,11
2009-08-23 12:00:00,Finished,64
2009-08-30 12:00:00,Finished,12
2009-09-13 12:00:00,Finished,13
2009-09-27 12:00:00,Finished,14
2009-10-04 05:00:00,Finished,65
2009-10-18 16:00:00,Finished,17
2009-11-01 11:00:00,Finished,18
2008-03-16 04:30:00,Finished,1
2008-03-23 07:00:00,Finished,2
2008-04-06 11:30:00,Finished,3
2008-04-27 12:00:00,Finished,4
2008-05-11 12:00:00,Finished,5
2008-05-25 12:00:00,Finished,6
2008-06-08 17:00:00,Finished,7
2008-06-22 12:00:00,Finished,8
2008-07-06 12:00:00,Finished,9
2008-07-20 12:00:00,Finished,10
2008-08-03 12:00:00,Finished,11
2008-08-24 12:00:00,Finished,64
2008-09-07 12:00:00,Finished,12
2008-09-14 12:00:00,Finished,13
2008-09-28 12:00:00,Finished,14
2008-10-12 04:30:00,Finished,15
2008-10-19 07:00:00,Finished,16
2008-11-02 17:00:00,Finished,17
2007-03-18 03:00:00,Finished,1
2007-04-08 07:00:00,Finished,2
2007-04-15 11:30:00,Finished,3
2007-05-13 12:00:00,Finished,4
2007-05-27 12:00:00,Finished,6
2007-06-10 17:00:00,Finished,7
2007-06-17 17:00:00,Finished,32
2007-07-01 12:00:00,Finished,8
2007-07-08 12:00:00,Finished,9
2007-07-22 12:00:00,Finished,31
2007-08-05 12:00:00,Finished,11
2007-08-26 12:00:00,Finished,5
2007-09-09 12:00:00,Finished,13
2007-09-16 12:00:00,Finished,12
2007-09-30 04:30:00,Finished,15
2007-10-07 06:00:00,Finished,16
2007-10-21 16:00:00,Finished,17
2006-03-12 14:30:00,Finished,3
2006-03-19 15:00:00,Finished,2
2006-04-02 14:00:00,Finished,1
2006-04-23 14:00:00,Finished,61
2006-05-07 14:00:00,Finished,31
2006-05-14 14:00:00,Finished,4
2006-05-28 14:00:00,Finished,6
2006-06-11 12:00:00,Finished,9
2006-06-25 13:00:00,Finished,7
2006-07-02 14:00:00,Finished,32
2006-07-16 14:00:00,Finished,8
2006-07-30 14:00:00,Finished,10
2006-08-06 14:00:00,Finished,11
2006-08-27 15:00:00,Finished,5
2006-09-10 14:00:00,Finished,13
2006-10-01 14:00:00,Finished,16
2006-10-08 14:00:00,Finished,65
2006-10-22 14:00:00,Finished,17
2005-03-06 14:00:00,Finished,1
2005-03-20 15:00:00,Finished,2
2005-04-03 14:30:00,Finished,3
2005-04-24 14:00:00,Finished,61
2005-05-08 14:00:00,Finished,4
2005-05-22 14:00:00,Finished,6
2005-05-29 14:00:00,Finished,31
2005-06-12 13:00:00,Finished,7
2005-06-19 14:00:00,Finished,32
2005-07-03 14:00:00,Finished,8
2005-07-10 14:00:00,Finished,9
2005-07-24 14:00:00,Finished,10
2005-07-31 14:00:00,Finished,11
2005-08-21 15:00:00,Finished,5
