id_prova,id_piloto,nr_tempo_prova,nr_colocacao_final,nr_posicao_grid,nr_melhor_volta
18.0,1.0,01:34:50.616,1,1,1:27.452
18.0,2.0,01:34:56.094,2,5,1:27.739
18.0,3.0,01:34:58.779,3,7,1:28.090
18.0,4.0,01:35:07.797,4,11,1:28.603
18.0,5.0,01:35:08.630,5,3,1:27.418
18.0,6.0,,6,13,1:29.639
18.0,7.0,,7,17,1:29.534
18.0,8.0,,8,15,1:27.903
18.0,9.0,,0,2,1:28.753
18.0,10.0,,0,18,1:29.558
18.0,11.0,,0,19,1:30.892
18.0,12.0,,0,20,1:31.384
18.0,13.0,,0,4,1:28.175
18.0,14.0,,0,8,1:29.502
18.0,15.0,,0,6,1:29.310
18.0,16.0,,0,22,1:32.021
18.0,17.0,,0,14,
18.0,18.0,,0,12,
18.0,19.0,,0,21,
18.0,20.0,,0,9,
18.0,21.0,,0,16,
18.0,22.0,,0,10,1:28.736
19.0,8.0,01:31:18.555,1,2,1:35.405
19.0,9.0,01:31:38.125,2,4,1:35.921
19.0,5.0,01:31:57.005,3,8,1:35.922
19.0,15.0,01:32:04.387,4,3,1:36.068
19.0,1.0,01:32:05.103,5,9,1:35.462
19.0,2.0,01:32:08.388,6,5,1:35.366
19.0,17.0,01:32:26.685,7,6,1:36.696
19.0,4.0,01:32:28.596,8,7,1:36.288
19.0,14.0,01:32:34.775,9,12,1:36.206
19.0,18.0,01:32:44.769,10,11,1:35.715
19.0,12.0,01:32:50.757,11,13,1:36.956
19.0,21.0,,12,17,1:36.962
19.0,22.0,,13,14,1:36.693
19.0,3.0,,14,16,1:36.782
19.0,19.0,,15,21,1:38.171
19.0,11.0,,16,19,1:38.504
19.0,6.0,,17,22,1:37.711
19.0,20.0,,0,15,1:36.870
19.0,13.0,,0,1,1:35.914
19.0,16.0,,0,20,1:40.330
19.0,10.0,,0,10,
19.0,7.0,,0,18,
20.0,13.0,01:31:06.970,1,2,1:33.600
20.0,8.0,01:31:10.309,2,4,1:33.709
20.0,9.0,01:31:11.968,3,1,1:33.775
20.0,2.0,01:31:15.379,4,6,1:33.565
20.0,5.0,01:31:33.759,5,5,1:33.193
20.0,15.0,01:31:48.284,6,7,1:34.204
20.0,17.0,01:31:52.443,7,11,1:34.305
20.0,3.0,01:32:02.859,8,8,1:34.072
20.0,10.0,01:32:16.470,9,13,1:34.807
20.0,4.0,01:32:24.151,10,10,1:35.194
20.0,22.0,01:32:24.832,11,12,1:34.855
20.0,21.0,,12,18,1:35.057
20.0,1.0,,13,3,1:35.520
20.0,6.0,,14,16,1:35.433
20.0,7.0,,15,15,1:35.333
20.0,19.0,,16,21,1:35.324
20.0,11.0,,17,22,1:35.891
20.0,14.0,,18,17,1:35.351
20.0,16.0,,19,20,1:35.442
20.0,12.0,,0,14,1:35.129
20.0,18.0,,0,9,1:36.125
20.0,20.0,,0,19,
21.0,8.0,01:38:19.051,1,1,1:21.670
21.0,13.0,01:38:22.279,2,3,1:21.801
21.0,1.0,01:38:23.238,3,5,1:22.017
21.0,9.0,01:38:24.745,4,4,1:22.106
21.0,17.0,01:38:54.989,5,7,1:22.564
21.0,18.0,01:39:12.061,6,13,1:22.353
21.0,6.0,01:39:17.295,7,12,1:23.549
21.0,15.0,01:39:18.486,8,8,1:22.758
21.0,2.0,01:39:22.124,9,9,1:22.519
21.0,21.0,,10,19,1:23.439
21.0,10.0,,11,14,1:23.007
21.0,14.0,,12,17,1:22.842
21.0,11.0,,13,22,1:24.617
21.0,3.0,,0,15,1:23.319
21.0,4.0,,0,2,1:22.683
21.0,22.0,,0,11,1:23.858
21.0,5.0,,0,6,1:22.453
21.0,19.0,,0,21,1:26.864
21.0,7.0,,0,16,1:25.999
21.0,12.0,,0,10,1:25.444
21.0,16.0,,0,20,
21.0,20.0,,0,18,
22.0,13.0,01:26:49.451,1,1,1:26.666
22.0,1.0,01:26:53.230,2,3,1:26.529
22.0,8.0,01:26:53.722,3,4,1:26.506
22.0,9.0,01:27:11.396,4,5,1:26.780
22.0,2.0,01:27:28.192,5,9,1:27.219
22.0,4.0,01:27:43.175,6,7,1:27.280
22.0,17.0,01:27:53.680,7,6,1:27.630
22.0,3.0,01:28:00.857,8,11,1:27.795
22.0,14.0,01:28:04.721,9,10,1:27.966
22.0,15.0,01:28:05.795,10,8,1:27.926
22.0,18.0,,11,13,1:27.998
22.0,5.0,,12,2,1:27.640
22.0,10.0,,13,15,1:28.303
22.0,22.0,,14,12,1:28.017
22.0,12.0,,15,17,1:27.867
22.0,16.0,,16,19,1:28.780
22.0,20.0,,17,14,1:28.180
22.0,7.0,,0,18,1:28.745
22.0,6.0,,0,16,
22.0,21.0,,0,20,
23.0,1.0,02:00:42.742,1,3,1:18.510
23.0,9.0,02:00:45.806,2,5,1:17.933
23.0,13.0,02:00:47.553,3,1,1:17.886
23.0,17.0,02:01:02.037,4,9,1:19.036
23.0,20.0,02:01:07.399,5,19,1:18.787
23.0,22.0,02:01:11.150,6,14,1:19.574
23.0,6.0,02:01:12.922,7,13,1:19.910
23.0,5.0,02:01:15.933,8,4,1:17.282
23.0,8.0,02:01:16.534,9,2,1:16.689
23.0,4.0,,10,7,1:17.869
23.0,18.0,,11,11,1:19.582
23.0,10.0,,12,10,1:19.618
23.0,15.0,,13,8,1:19.830
23.0,2.0,,14,12,1:20.251
23.0,16.0,,0,18,1:22.039
23.0,3.0,,0,6,1:21.270
23.0,12.0,,0,17,1:31.187
23.0,21.0,,0,20,1:32.849
23.0,14.0,,0,15,1:42.112
23.0,7.0,,0,16,1:41.150
24.0,9.0,01:36:24.227,1,2,1:17.539
24.0,2.0,01:36:40.722,2,8,1:17.430
24.0,14.0,01:36:47.579,3,13,1:18.085
24.0,10.0,01:37:06.854,4,11,1:19.087
24.0,13.0,01:37:08.161,5,6,1:18.006
24.0,15.0,01:37:12.002,6,14,1:18.870
24.0,22.0,01:37:17.824,7,9,1:18.301
24.0,20.0,01:37:18.347,8,19,1:18.532
24.0,5.0,01:37:18.660,9,7,1:18.462
24.0,3.0,01:37:18.976,10,5,1:17.977
24.0,18.0,01:37:31.767,11,20,1:19.352
24.0,17.0,01:37:35.526,12,10,1:18.201
24.0,7.0,,13,18,1:18.620
24.0,21.0,,0,17,1:19.066
24.0,6.0,,0,12,1:18.784
24.0,4.0,,0,4,1:18.225
24.0,12.0,,0,15,1:19.239
24.0,8.0,,0,3,1:17.387
24.0,1.0,,0,1,1:17.506
24.0,16.0,,0,16,1:20.666
25.0,13.0,01:31:50.245,1,2,1:16.729
25.0,8.0,01:32:08.229,2,1,1:16.630
25.0,15.0,01:32:18.495,3,4,1:17.567
25.0,5.0,01:32:19.174,4,10,1:17.134
25.0,9.0,01:32:20.757,5,5,1:17.172
25.0,17.0,01:32:30.549,6,6,1:17.507
25.0,12.0,01:32:31.278,7,9,1:17.758
25.0,4.0,01:32:33.617,8,3,1:17.641
25.0,14.0,01:32:41.266,9,7,1:17.818
25.0,1.0,01:32:44.783,10,13,1:17.453
25.0,10.0,01:32:47.945,11,8,1:17.836
25.0,20.0,01:32:48.310,12,12,1:17.760
25.0,2.0,01:32:52.324,13,11,1:17.716
25.0,22.0,,14,20,1:17.969
25.0,6.0,,15,15,1:18.054
25.0,3.0,,16,19,1:18.311
25.0,7.0,,17,14,1:18.216
25.0,21.0,,18,17,1:18.557
25.0,16.0,,19,18,1:18.462
25.0,18.0,,0,16,1:20.876
26.0,1.0,01:39:09.440,1,4,1:32.817
26.0,2.0,01:40:18.017,2,5,1:32.719
26.0,22.0,01:40:31.713,3,16,1:33.386
26.0,8.0,,4,3,1:32.150
26.0,5.0,,5,1,1:33.130
26.0,4.0,,6,6,1:33.133
26.0,15.0,,7,14,1:33.808
26.0,6.0,,8,15,1:34.277
26.0,3.0,,9,20,1:34.797
26.0,17.0,,10,2,1:32.952
26.0,7.0,,11,13,1:33.367
26.0,10.0,,12,12,1:34.610
26.0,13.0,,13,9,1:33.257
26.0,9.0,,0,10,1:33.539
26.0,18.0,,0,17,1:33.376
26.0,12.0,,0,7,1:33.203
26.0,21.0,,0,19,1:34.930
26.0,16.0,,0,18,1:38.160
26.0,20.0,,0,8,
26.0,14.0,,0,11,
27.0,1.0,01:31:20.874,1,1,1:16.039
27.0,12.0,01:31:26.460,2,17,1:16.910
27.0,13.0,01:31:30.213,3,2,1:16.502
27.0,2.0,01:31:30.699,4,12,1:15.987
27.0,5.0,01:31:33.285,5,3,1:16.495
27.0,8.0,01:31:35.277,6,6,1:16.342
27.0,9.0,01:31:43.556,7,7,1:16.610
27.0,20.0,01:31:54.173,8,9,1:16.772
27.0,15.0,01:31:58.032,9,4,1:17.023
27.0,3.0,01:31:58.499,10,13,1:17.380
27.0,4.0,01:31:59.474,11,5,1:17.115
27.0,7.0,01:31:59.985,12,15,1:16.969
27.0,14.0,01:32:15.845,13,10,1:16.994
27.0,6.0,01:32:20.877,14,16,1:17.691
27.0,16.0,01:32:30.362,15,19,1:17.889
27.0,21.0,01:32:44.967,16,20,1:18.208
27.0,18.0,,17,14,1:17.636
27.0,22.0,,0,18,1:17.986
27.0,17.0,,0,8,1:17.206
27.0,10.0,,0,11,1:16.712
28.0,5.0,01:37:27.067,1,2,1:21.753
28.0,10.0,01:37:38.128,2,5,1:21.671
28.0,8.0,01:37:43.923,3,6,1:21.195
28.0,4.0,01:37:48.681,4,7,1:21.793
28.0,1.0,01:37:50.115,5,1,1:21.493
28.0,12.0,01:37:59.365,6,10,1:21.537
28.0,15.0,01:38:03.516,7,9,1:21.638
28.0,9.0,01:38:15.388,8,4,1:21.941
28.0,17.0,01:38:25.901,9,8,1:22.125
28.0,2.0,01:38:34.776,10,15,1:22.183
28.0,14.0,01:38:37.474,11,13,1:22.732
28.0,18.0,,12,12,1:22.397
28.0,6.0,,13,16,1:23.307
28.0,3.0,,14,14,1:22.397
28.0,21.0,,15,18,1:22.641
28.0,22.0,,16,17,1:22.436
28.0,13.0,,17,3,1:21.355
28.0,7.0,,18,19,1:23.220
28.0,16.0,,0,20,1:23.650
28.0,20.0,,0,11,1:24.222
29.0,13.0,01:35:32.339,1,1,1:38.708
29.0,1.0,01:35:37.950,2,2,1:38.884
29.0,9.0,01:36:09.692,3,3,1:39.330
29.0,5.0,01:36:12.042,4,5,1:39.112
29.0,15.0,01:36:23.023,5,7,1:39.657
29.0,20.0,01:36:24.964,6,6,1:39.485
29.0,10.0,01:36:40.329,7,13,1:39.535
29.0,3.0,01:36:43.796,8,9,1:39.577
29.0,2.0,01:36:54.516,9,8,1:39.526
29.0,7.0,01:37:02.133,10,10,1:39.639
29.0,12.0,01:37:05.056,11,15,1:39.544
29.0,17.0,,12,14,1:40.264
29.0,18.0,,13,16,1:40.763
29.0,21.0,,14,18,1:40.353
29.0,6.0,,15,11,1:39.803
29.0,22.0,,16,19,1:40.593
29.0,14.0,,17,17,1:40.978
29.0,8.0,,0,4,1:39.424
29.0,16.0,,0,20,1:40.661
29.0,4.0,,0,12,
30.0,13.0,01:22:59.394,1,2,1:48.222
30.0,2.0,01:23:08.777,2,5,1:49.067
30.0,1.0,01:23:09.933,3,1,1:48.135
30.0,4.0,01:23:13.872,4,6,1:49.238
30.0,20.0,01:23:13.970,5,10,1:49.086
